name,stars,title,reviews,ASIN
rareoopdvds,4.0 out of 5 stars,"Keys are loud, but works well for gaming","This is a really nice keyboard, both functionally and aesthetically. The LED color patterns really make it standout as something ""cool"". While the lights do show up in mult-colors and they have some pattern to their changing colors, there is no way to manipulate the pattern - so you just let it do what it does. The key are loud and make the clicking noises with every press of the key, and as they are high from being spring loaded, they can sometimes make normal typing challenging. Besides this, I really like this keyboard and was a good price for what you get.",
Zest,5.0 out of 5 stars,Good value,"I personally collect a numerous of mechanical keyboards, such as ""corsair K70"", ""ROCCAT Vulcan 120 AIMO"", ""Razer BlackWidow V3 Pro Mechanical Wireless Gaming Keyboard"" with ""Green Mechanical Switches"". I also tested and reviewed many Chinese made, cheaper mechanical keyboard from Anker, Ajazz(""Ajazz AK35I"") , etc. So I had good expectation of what a good mechanical keyboard should offer. My son has the ""Razer BlackWidow V3 Pro"" as his daily keyboard, I drive my ""ROCCAT Vulcan 120 AIMO"" as my main keyboard.",
Josh,1.0 out of 5 stars,Didn't Work For Me,"The overall design and materials were not an issue for me, but every time I tried connecting it to my laptop (Chromebook) the mouse pointer would freeze in place on the screen and the mouse itself would stop responding (not even able to cycle through backlight colors). I tried this a few times by connecting to different USB ports and had the same issue each time. Ended up returning this one.",
Ryann,3.0 out of 5 stars,Tilts slightly on hard surface. Constantly changing colors. Good for money.,Probably just me not reading close enough but the colors change constantly. You can not select one color and have it stay there. At first it was distracting for me but I got used to it after a few days. Mine slightly tilts when I click the left button but not at all noticeable when using a mousepad.  Also has plastic on the bottom so take that off for a smoother feel.,
Tina M,1.0 out of 5 stars,This has got to be the worst mouse I've ever used,"Let me tell you what's good about the mouse first.  It's a great length, it's comfortable to use, it's lightweight, it's inexpensive, and it does not feel cheap at all.",
KATHY FRAGEMAN,5.0 out of 5 stars,LOVE IT,DID NOT REALIZE IT WAS A GAMING MOUSE.  BUT I LOVE IT & I BOUGHT IT FOR THE LONG CORD AS I AM 82 YRS OLD AND KEEP DROPPING THINGS.  I CAN PUT IT UP EASILY,
Tammy,5.0 out of 5 stars,My son loves this light up mouse,My son uses this mouse every day. Holding up well. He loves that it lights up,
Qtqbana ,5.0 out of 5 stars,My son was very pleased!,"This was bought for my son, so all the feedback is from his experiences. He asked for one with some feature buttons but not too many. He wanted it corded. He liked ones with alternating lights like his keyboard. He rated the accuracy at a 5/5 and comfort at 4/5. We arrived at the value for money together. 5/5.",
Amazon Customer,5.0 out of 5 stars,Better than expected!,Got this for work.,
Gary M. Carpenter,5.0 out of 5 stars,Great gaming mouse for the money.,"A good little gaming mouse.  A tad smaller than my gaming Logitech mouse I had for years that fit my hand a little better,  but overall, it is comfortable and accurate.  Can't beat it for the price.",
Luthien,2.0 out of 5 stars,Not worth it.,"It changes colors automatically, kind of annoying sometimes.",
Karmafan,4.0 out of 5 stars,Good Mouse For The Price.,It fits the hand sell and performs as advertised.,
Psychic Cypher,4.0 out of 5 stars,Nice keyboard with some issues,I love this keyboard.,
J. Campbell,4.0 out of 5 stars,A very nice gaming keyboard, Pros:,
Bezoar,5.0 out of 5 stars,"Satisfying, noisy, tactile feedback.",Disclaimer: I received this product for free through the Vine program.,
Technology Guy,4.0 out of 5 stars,Nice clacky keyboard,I'm using this mostly for writing and coding. I really like the feel of the keys and they have improved my typing accuracy.,
RW,5.0 out of 5 stars,Works great and excellent value,"My son has 5 Mechanical keyboards as he loves them and was curious to compare this to the others that are in this price range and some more expensive such as the Ducky One 2 Mini.  He loves to change out the keys, see the colors and decide from several which ones he likes best.  He found this to be an excellent value.  It is full-sized, which if you need is not as common in gaming keyboards.  He switched out the key caps and found that easy to do.  The ""Clickiness"" he found to be addictive and enjoyed it almost as much as keyboards twice this price.",
Steve Taylor,5.0 out of 5 stars,Great Budget Mechanical Keyboard,PROS:,
Sharkattack99,5.0 out of 5 stars,Pretty good keyboard,Nice keyboard even made with metal parts which is a nice touch.,
Benji,2.0 out of 5 stars,Meh,"So first off, fully understand you get what you pay for. To potential buyers, spend the extra on a Red Dragon or something. This is very tingy after heavy use (work from home office, constant typing) and the space bar has started to stick due to one of the stabilizers being temperamental.",
S R,5.0 out of 5 stars,Good blue keys keyboard that I love,"If you don’t like full tactile feel, or a clicking sound is a distraction to you and/or others, this keyboard is not for you.",
